Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0042611873, z: 0.0 }, raw_data: Vector3 { x: -3, y: -4, z: 0 } }
Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0042611873, z: 0.0 }, raw_data: Vector3 { x: -3, y: -4, z: 0 } }
Accelerometer { acceleration: Vector3 { x: 0.22625206, y: 0.14724341, z: 9.5798 }, raw_data: Vector3 { x: 126, y: 82, z: 5335 } }
Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0021305936, z: 0.0 }, raw_data: Vector3 { x: -3, y: -2, z: 0 } }
Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -3, y: -1, z: 0 } }
Accelerometer { acceleration: Vector3 { x: 0.22804771, y: 0.17417817, z: 9.565434 }, raw_data: Vector3 { x: 127, y: 97, z: 5327 } }
Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -3, y: 0, z: 0 } }
Accelerometer { acceleration: Vector3 { x: 0.22984336, y: 0.15801731, z: 9.565434 }, raw_data: Vector3 { x: 128, y: 88, z: 5327 } }
Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -3, y: -1, z: 0 } }
Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: -0.0010652968 }, raw_data: Vector3 { x: -3, y: -1, z: -1 } }
Barometer { pressure: 101705.0, temperature: 27.9, raw_data: 101705 }
Accelerometer { acceleration: Vector3 { x: 0.22445641, y: 0.14903906, z: 9.565434 }, raw_data: Vector3 { x: 125, y: 83, z: 5327 } }
Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -3, y: 0, z: 0 } }
Accelerometer { acceleration: Vector3 { x: 0.21547815, y: 0.14903906, z: 9.592369 }, raw_data: Vector3 { x: 120, y: 83, z: 5342 } }
