51054: Accelerometer { acceleration: Vector3 { x: 0.21547815, y: 0.18495208, z: 9.5492735 }, raw_data: Vector3 { x: 120, y: 103, z: 5318 } }
51137: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: -0.0010652968, z: 0.0010652968 }, raw_data: Vector3 { x: -2, y: -1, z: 1 } }
57865: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -2, y: 0, z: 0 } }
67521: Accelerometer { acceleration: Vector3 { x: 0.2208651, y: 0.17776948, z: 9.540296 }, raw_data: Vector3 { x: 123, y: 99, z: 5313 } }
67602: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -2, y: 0, z: 0 } }
77035: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -3, y: 0, z: 0 } }
87080: Accelerometer { acceleration: Vector3 { x: 0.22445641, y: 0.16160862, z: 9.5492735 }, raw_data: Vector3 { x: 125, y: 90, z: 5318 } }
87176: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -3, y: 0, z: 0 } }
97089: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -4, y: 0, z: 0 } }
107089: Accelerometer { acceleration: Vector3 { x: 0.22445641, y: 0.15263036, z: 9.545682 }, raw_data: Vector3 { x: 125, y: 85, z: 5316 } }
107154: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -4, y: 0, z: 0 } }
117088: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -3, y: 1, z: 0 } }
127048: Accelerometer { acceleration: Vector3 { x: 0.21906945, y: 0.15801731, z: 9.5492735 }, raw_data: Vector3 { x: 122, y: 88, z: 5318 } }
127107: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -3, y: 0, z: 0 } }
137113: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -3, y: 0, z: 0 } }
188433: Accelerometer { acceleration: Vector3 { x: 0.21188685, y: 0.16160862, z: 9.54209 }, raw_data: Vector3 { x: 118, y: 90, z: 5314 } }
188504: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0, z: 0.0010652968 }, raw_data: Vector3 { x: -3, y: 0, z: 1 } }
188597: Barometer { pressure: 100840.0, temperature: 19.55, raw_data: 100840 }
188690: Accelerometer { acceleration: Vector3 { x: 0.21906945, y: 0.17597382, z: 9.540296 }, raw_data: Vector3 { x: 122, y: 98, z: 5313 } }
188783: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0021305936, z: 0.0 }, raw_data: Vector3 { x: -3, y: -2, z: 0 } }
202191: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0021305936, z: 0.0 }, raw_data: Vector3 { x: -3, y: -2, z: 0 } }
202243: Accelerometer { acceleration: Vector3 { x: 0.22984336, y: 0.17058687, z: 9.54209 }, raw_data: Vector3 { x: 128, y: 95, z: 5314 } }
211037: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -4, y: -1, z: 0 } }
221085: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -4, y: -1, z: 0 } }
221169: Accelerometer { acceleration: Vector3 { x: 0.23163901, y: 0.17238252, z: 9.552865 }, raw_data: Vector3 { x: 129, y: 96, z: 5320 } }
231089: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -4, y: -1, z: 0 } }
241422: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: -0.0010652968 }, raw_data: Vector3 { x: -3, y: -1, z: -1 } }
241493: Accelerometer { acceleration: Vector3 { x: 0.2208651, y: 0.16879122, z: 9.54209 }, raw_data: Vector3 { x: 123, y: 94, z: 5314 } }
251431: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: -0.0010652968 }, raw_data: Vector3 { x: -3, y: -1, z: -1 } }
261087: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -3, y: -1, z: 0 } }
261161: Accelerometer { acceleration: Vector3 { x: 0.23343466, y: 0.17238252, z: 9.534908 }, raw_data: Vector3 { x: 130, y: 96, z: 5310 } }
271088: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -2, y: -1, z: 0 } }
281102: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: -0.0010652968, z: 0.0010652968 }, raw_data: Vector3 { x: -2, y: -1, z: 1 } }
281172: Accelerometer { acceleration: Vector3 { x: 0.22445641, y: 0.16879122, z: 9.531317 }, raw_data: Vector3 { x: 125, y: 94, z: 5308 } }
291096: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0, z: 0.0010652968 }, raw_data: Vector3 { x: -2, y: 0, z: 1 } }
342303: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -2, y: 0, z: 0 } }
342372: Accelerometer { acceleration: Vector3 { x: 0.2136825, y: 0.15263036, z: 9.534908 }, raw_data: Vector3 { x: 119, y: 85, z: 5310 } }
342462: Barometer { pressure: 100839.0, temperature: 19.55, raw_data: 100839 }
342544: Accelerometer { acceleration: Vector3 { x: 0.21547815, y: 0.16699557, z: 9.540296 }, raw_data: Vector3 { x: 120, y: 93, z: 5313 } }
342642: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -3, y: 0, z: 0 } }
352069: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -3, y: -1, z: 0 } }
362106: Accelerometer { acceleration: Vector3 { x: 0.2136825, y: 0.16340427, z: 9.545682 }, raw_data: Vector3 { x: 119, y: 91, z: 5316 } }
362176: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -4, y: -1, z: 0 } }
372065: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -3, y: -1, z: 0 } }
382119: Accelerometer { acceleration: Vector3 { x: 0.2172738, y: 0.16879122, z: 9.560047 }, raw_data: Vector3 { x: 121, y: 94, z: 5324 } }
382188: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -2, y: -1, z: 0 } }
392192: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: -0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -2, y: -1, z: 0 } }
402066: Accelerometer { acceleration: Vector3 { x: 0.2172738, y: 0.16340427, z: 9.551069 }, raw_data: Vector3 { x: 121, y: 91, z: 5319 } }
402155: Gyroscope { angular_velocity: Vector3 { x: -0.0010652968, y: 0.0, z: 0.0010652968 }, raw_data: Vector3 { x: -1, y: 0, z: 1 } }
412042: Gyroscope { angular_velocity: Vector3 { x: -0.0010652968, y: 0.0, z: 0.0010652968 }, raw_data: Vector3 { x: -1, y: 0, z: 1 } }
422083: Accelerometer { acceleration: Vector3 { x: 0.22266077, y: 0.16699557, z: 9.5492735 }, raw_data: Vector3 { x: 124, y: 93, z: 5318 } }
422153: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0, z: 0.0010652968 }, raw_data: Vector3 { x: -2, y: 0, z: 1 } }
432092: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0, z: 0.0010652968 }, raw_data: Vector3 { x: -2, y: 0, z: 1 } }
442086: Accelerometer { acceleration: Vector3 { x: 0.2136825, y: 0.15981296, z: 9.54209 }, raw_data: Vector3 { x: 119, y: 89, z: 5314 } }
442158: Gyroscope { angular_velocity: Vector3 { x: -0.0021305936, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -2, y: 0, z: 0 } }
489919: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0, z: 0.0 }, raw_data: Vector3 { x: -3, y: 0, z: 0 } }
489994: Barometer { pressure: 100841.0, temperature: 19.55, raw_data: 100841 }
490085: Accelerometer { acceleration: Vector3 { x: 0.21906945, y: 0.16879122, z: 9.531317 }, raw_data: Vector3 { x: 122, y: 94, z: 5308 } }
490180: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0010652968 }, raw_data: Vector3 { x: -3, y: -1, z: 1 } }
499704: Accelerometer { acceleration: Vector3 { x: 0.21547815, y: 0.15801731, z: 9.554661 }, raw_data: Vector3 { x: 120, y: 88, z: 5321 } }
499769: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: -0.0010652968, z: 0.0010652968 }, raw_data: Vector3 { x: -3, y: -1, z: 1 } }
509302: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0, z: 0.0010652968 }, raw_data: Vector3 { x: -3, y: 0, z: 1 } }
519046: Accelerometer { acceleration: Vector3 { x: 0.22266077, y: 0.15442601, z: 9.531317 }, raw_data: Vector3 { x: 124, y: 86, z: 5308 } }
519110: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0, z: 0.0010652968 }, raw_data: Vector3 { x: -3, y: 0, z: 1 } }
529057: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0010652968, z: 0.0010652968 }, raw_data: Vector3 { x: -3, y: 1, z: 1 } }
539079: Accelerometer { acceleration: Vector3 { x: 0.23702596, y: 0.15981296, z: 9.524135 }, raw_data: Vector3 { x: 132, y: 89, z: 5304 } }
539158: Gyroscope { angular_velocity: Vector3 { x: -0.0031958905, y: 0.0010652968, z: 0.0010652968 }, raw_data: Vector3 { x: -3, y: 1, z: 1 } }
549003: Gyroscope { angular_velocity: Vector3 { x: -0.0042611873, y: 0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -4, y: 1, z: 0 } }
559060: Accelerometer { acceleration: Vector3 { x: 0.2136825, y: 0.15981296, z: 9.558251 }, raw_data: Vector3 { x: 119, y: 89, z: 5323 } }
559118: Gyroscope { angular_velocity: Vector3 { x: -0.0053264843, y: 0.0010652968, z: 0.0 }, raw_data: Vector3 { x: -5, y: 1, z: 0 } }
569035: Gyroscope { angular_velocity: Vector3 { x: -0.0053264843, y: 0.0, z: 0.0010652968 }, raw_data: Vector3 { x: -5, y: 0, z: 1 } }
